topic,difficulty,question_length,user_previous_score,answered_correctly
Speed/Distance/Time,Easy,13,0.0,0
Profit & Loss,Easy,12,0.0,0
Average,Easy,11,0.0,0
Percentages,Easy,5,0.0,0
Speed/Distance/Time,Easy,13,0.0,0
Profit & Loss,Easy,12,0.0,0
Speed/Distance/Time,Easy,13,0.1428571428571428,1
Percentages,Easy,5,0.125,0
Speed/Distance/Time,Easy,13,0.1111111111111111,0
Percentages,Easy,5,0.2,1
Percentages,Easy,5,1.0,1
Simple Interest,Moderate,12,0.5,0
Simple Interest,Moderate,12,0.6666666666666666,1
Simple Interest,Moderate,12,0.5,0
Simple Interest,Moderate,12,0.4,0
Simple Interest,Moderate,12,0.3333333333333333,0
Simple Interest,Moderate,12,0.2857142857142857,0
Simple Interest,Moderate,12,0.25,0
Simple Interest,Moderate,12,0.2222222222222222,0
Simple Interest,Moderate,12,0.2,0
Percentages,Easy,5,1.0,1
Speed/Distance/Time,Easy,13,0.5,0
Speed/Distance/Time,Easy,13,0.3333333333333333,0
Speed/Distance/Time,Easy,13,0.25,0
Speed/Distance/Time,Easy,13,0.2,0
Speed/Distance/Time,Easy,13,0.1666666666666666,0
Speed/Distance/Time,Easy,13,0.1428571428571428,0
Percentages,Easy,5,0.125,0
Percentages,Easy,5,0.1111111111111111,0
Speed/Distance/Time,Easy,13,0.1,0
Percentages,Easy,5,1.0,1
Percentages,Easy,5,0.5,0
Percentages,Easy,5,0.3333333333333333,0
Percentages,Easy,5,0.25,0
Percentages,Easy,5,0.2,0
Percentages,Easy,5,0.3333333333333333,1
Percentages,Easy,5,0.2857142857142857,0
Percentages,Easy,5,0.25,0
Percentages,Easy,5,0.2222222222222222,0
Percentages,Easy,5,0.2,0
Percentages,Easy,5,0.0,0
Percentages,Easy,5,0.0,0
Percentages,Easy,5,0.0,0
Percentages,Easy,5,0.0,0
Percentages,Easy,5,0.0,0
Percentages,Easy,5,0.16666666666666666,1
Speed/Distance/Time,Easy,13,0.2857142857142857,1
Percentages,Easy,5,0.25,0
Percentages,Easy,5,0.2222222222222222,0
Percentages,Easy,5,0.2,0
