id,question_text,option_a,option_b,option_c,option_d,answer,difficulty,tags
1,What is 10% of 337?,50.55,38.7,28.7,33.7,d,Easy,Percentages
2,What is 20% of 135?,40.5,27,22,32,b,Easy,Percentages
3,What is 10% of 356?,40.6,30.6,35.6,53.4,c,Easy,Percentages
4,What is 20% of 57?,17.1,11.4,6.4,16.4,b,Easy,Percentages
5,What is 20% of 297?,54.4,64.4,59.4,89.1,c,Easy,Percentages
6,What is 25% of 311?,72.75,82.75,116.62,77.75,d,Easy,Percentages
7,What is 25% of 184?,41,69,46,51,c,Easy,Percentages
8,What is 10% of 62?,1.2,11.2,6.2,9.3,c,Easy,Percentages
9,What is 30% of 443?,199.35,137.9,132.9,127.9,c,Easy,Percentages
10,What is 10% of 284?,23.4,33.4,28.4,42.6,c,Easy,Percentages
11,What is 30% of 434?,195.3,130.2,125.2,135.2,b,Easy,Percentages
12,What is 20% of 33?,11.6,9.9,6.6,1.6,c,Easy,Percentages
13,What is 10% of 453?,45.3,40.3,50.3,67.95,a,Easy,Percentages
14,What is 30% of 335?,100.5,95.5,150.75,105.5,a,Easy,Percentages
15,What is 25% of 117?,34.25,43.88,24.25,29.25,d,Easy,Percentages
16,What is 20% of 283?,56.6,51.6,84.9,61.6,a,Easy,Percentages
17,What is 20% of 148?,34.6,44.4,29.6,24.6,c,Easy,Percentages
18,What is 5% of 430?,21.5,32.25,26.5,16.5,a,Easy,Percentages
19,What is 20% of 43?,12.9,13.6,8.6,3.6,c,Easy,Percentages
20,What is 50% of 212?,101,106,159,111,b,Easy,Percentages
21,What is 25% of 136?,34,39,29,51,a,Easy,Percentages
22,What is 20% of 195?,39,58.5,34,44,a,Easy,Percentages
23,What is 5% of 56?,7.8,-2.2,4.2,2.8,d,Easy,Percentages
24,What is 40% of 415?,249,161,171,166,d,Easy,Percentages
25,What is 50% of 315?,162.5,157.5,236.25,152.5,b,Easy,Percentages
26,What is 10% of 358?,35.8,40.8,53.7,30.8,a,Easy,Percentages
27,What is 25% of 67?,11.75,21.75,16.75,25.12,c,Easy,Percentages
28,What is 25% of 11?,4.12,2.75,-2.25,7.75,b,Easy,Percentages
